,Cold_nodulation
Mesirhizobium_sp_N3,0
Mesorhizobium_albiziae_DSM_21822,0
Mesorhizobium_alhagi_CCNWXJ12-2,0
Mesorhizobium_amorphae_CCNWGS0123,0
Mesorhizobium_atlanticum_CNPSo_3140,0
Mesorhizobium_australicum_WSM2073,0
Mesorhizobium_camelthorni_CCNWXJ_40-4,0
Mesorhizobium_caraganae_CCBAU_01502,0
Mesorhizobium_carbonis_B2.3,0
Mesorhizobium_carmichaelinearum_ICMP_18942,0
Mesorhizobium_ciceri_ca181,0
Mesorhizobium_ciceri_CC1192,0
Mesorhizobium_ciceri_WSM1271,0
Mesorhizobium_ciceri_WSM1284,0
Mesorhizobium_composti_CC-YTH430,0
Mesorhizobium_delmotii_STM_462,0
Mesorhizobium_denitrificans_LA-28,0
Mesorhizobium_ephedrae_6GN-30,0
Mesorhizobium_erdmanii_NZP2014,0
Mesorhizobium_hawassense_AC99b,0
Mesorhizobium_helmanticense_CSLC115N,0
Mesorhizobium_huakuii_583,1
Mesorhizobium_huakuii_7653R,0
Mesorhizobium_hungaricum_UASWS1009,0
Mesorhizobium_intechi_BD68,0
Mesorhizobium_japonicum_MAFF_303099,0
Mesorhizobium_japonicum_R7A,0
Mesorhizobium_japonicum_R7ANSstar,0
Mesorhizobium_japonicum_R7Astar,0
Mesorhizobium_japonicum_R7AstarV2,0
Mesorhizobium_jarvisii_ATCC_700743,0
Mesorhizobium_kowhaii_Ach-343,0
Mesorhizobium_loti_582,1
Mesorhizobium_loti_LU,0
Mesorhizobium_loti_NZP2037,0
Mesorhizobium_loti_NZP2042,0
Mesorhizobium_loti_R88b,0
Mesorhizobium_loti_SU343,0
Mesorhizobium_loti_TONO,0
Mesorhizobium_mediterraneum_USDA_3392,0
Mesorhizobium_metallidurans_STM_2683,0
Mesorhizobium_muleiense_CGMCC_1.11022,0
Mesorhizobium_norvegicum_10.2.2,0
Mesorhizobium_oceanicum_B7,0
Mesorhizobium_opportunistum_WSM2075,0
Mesorhizobium_prunaredense_1,0
Mesorhizobium_qingshengii_CGMCC_1.12097,0
Mesorhizobium_sangaii_DSM_100039,0
Mesorhizobium_sanjuanii_BSA136,0
Mesorhizobium_sediminum_KCTC_42205,0
Mesorhizobium_silamurunense_CCBAU_45272,0
Mesorhizobium_soli_JCM_19897,0
Mesorhizobium_sophorae_ICMP_19535,0
Mesorhizobium_sp_113-1-2,0
Mesorhizobium_sp_113-3-3,0
Mesorhizobium_sp_113-3-9,0
Mesorhizobium_sp_131-2-1,0
Mesorhizobium_sp_131-2-5,0
Mesorhizobium_sp_131-3-5,0
Mesorhizobium_sp_8,0
Mesorhizobium_sp_AA22,0
Mesorhizobium_sp_AR02,1
Mesorhizobium_sp_AR07,1
Mesorhizobium_sp_AR10,1
Mesorhizobium_sp_DCY119,0
Mesorhizobium_sp_INR15,0
Mesorhizobium_sp_J8,0
Mesorhizobium_sp_L-2-11,0
Mesorhizobium_sp_L-8-10,0
Mesorhizobium_sp_L-8-3,0
Mesorhizobium_sp_M1A.F.Ca.IN.022.06.1.1,0
Mesorhizobium_sp_M1B.F.Ca.ET.045.04.1.1,0
Mesorhizobium_sp_M1D.F.Ca.ET.043.01.1.1,0
Mesorhizobium_sp_M1E.F.Ca.ET.045.02.1.1,0
Mesorhizobium_sp_M2A.F.Ca.ET.043.02.1.1,0
Mesorhizobium_sp_M2A.F.Ca.ET.043.05.1.1,0
Mesorhizobium_sp_M2A.F.Ca.ET.046.03.2.1,0
Mesorhizobium_sp_M3A.F.Ca.ET.080.04.2.1,0
Mesorhizobium_sp_M4B.F.Ca.ET.058.02.1.1,0
Mesorhizobium_sp_M6A.T.Cr.TU.016.01.1.1,0
Mesorhizobium_sp_M7A.F.Ce.TU.012.03.2.1,0
Mesorhizobium_sp_M7D.F.Ca.US.005.01.1.1,0
Mesorhizobium_sp_M8A.F.Ca.ET.057.01.1.1,0
Mesorhizobium_sp_M9A.F.Ca.ET.002.03.1.2,0
Mesorhizobium_sp_NBSH29,0
Mesorhizobium_sp_NZP2077,0
Mesorhizobium_sp_NZP2234,0
Mesorhizobium_sp_NZP2298,0
Mesorhizobium_sp_Pch-S,0
Mesorhizobium_sp_WSM1497,0
Mesorhizobium_tamadayense_DSM_28320,0
Mesorhizobium_temperatum_SDW018,0
Mesorhizobium_terrae_NIBRBAC000500504,0
Mesorhizobium_tianshanense_CGMCC_1.2546,0
Mesorhizobium_waimense_ICMP19557,0
Mesorhizobium_wenxiniae_WYCCWR_10195,0
Mesorhizobium_zhangyense_CGMCC_1.15528,0
